표지일련번호,표지종별,X좌표,Y좌표,표지판 근거리 이미지1,표지판 근거리 이미지2,표지판 근거리 이미지3,표지판 근거리 이미지4,표지판 근거리 이미지5,표지판 원거리 이미지1,표지판 원거리 이미지2,데이터기준일자
WR(서울특별시 성북구)-[월계로]-하-1,3방향표지,203015.48,456533.57,/2006-10-24/WRC0108월계로D/월1(월계로-1-후면-근거리).jpg,,,,,/2006-10-24/WRC0108월계로D/월1(월계로-1-후면-원거리).jpg,,2018-04-30
WR(서울특별시 강북구)-[한천로]-하-12,3방향표지,204367.55,457961.9,/2006-10-24/WRC0109한천로D/24-1-3.jpg,,,,,/2006-10-24/WRC0109한천로D/24-1-4.jpg,,2018-04-30
WR(서울특별시 서초구)-[반포대로]-상-12,3방향표지,200075.83,444712.92,/2018-01-11/WRC0122반포대로U/110-근거리.jpg,,,,,/2018-01-11/WRC0122반포대로U/110-원거리.jpg,,2018-04-30
WR(서울특별시 서초구)-[반포대로]-하-16,3방향표지,200139.18,444528.53,/2018-01-11/WRC0122반포대로D/105-근거리.jpg,,,,,/2018-01-11/WRC0122반포대로D/105-원거리.jpg,,2018-04-30
WR(서울특별시 서초구)-[반포대로]-상-13,3방향표지,200139.18,444528.53,/2006-10-24/WRC0122반포로U/반포로-18(하,근거리).jpg,,,,,/2006-10-24/WRC0122반포로U/반포로-18(하,2018-04-30
UR(서울특별시)-88[올림픽대로]-하-57,2방향예고표지,189960.74,449564.15,/2006-10-25/URC010088D/올림픽-146-근거리.jpg,,,,,/2006-10-25/URC010088D/올림픽-146-원거리.jpg,,2018-04-30
UR(서울특별시)-61[동부간선도로]-상-20,2방향예고표지,202677.1,449084.43,/2006-10-16/URC010061U/동부간선-1-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-1-원거리.jpg,,2018-04-30
UR(서울특별시)-61[동부간선도로]-상-21,교량표지,202810.77,449204.35,/2006-10-16/URC010061U/동부간선-2-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-2-원거리.jpg,,2018-04-30
UR(서울특별시)-61[동부간선도로]-상-22,2지명이정표지,202989.67,449371.84,/2006-10-16/URC010061U/동부간선-3-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-3-원거리.jpg,,2018-04-30
UR(서울특별시)-61[동부간선도로]-상-23,단일노선표지,203111.48,449501.62,/2006-10-16/URC010061U/동부간선-4-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-4-원거리.jpg,,2018-04-30
UR(서울특별시)-61[동부간선도로]-상-24,교량표지,203118.28,449510.1,/2006-10-16/URC010061U/동부간선-5-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-5-원거리.jpg,,2018-04-30
WR(서울특별시 성북구)-[인촌로]-상-7,3방향표지,202799.46,453771.39,/2006-10-24/WRC0108인촌로U/인7(인촌로-7-전면-근거리).jpg,,,,,/2006-10-24/WRC0108인촌로U/인7(인촌로-7-전면-원거리).jpg,,2018-04-30
WR(서울특별시 영등포구)-[선유서로]-하-4,3방향표지,189816.96,446707.93,/2006-10-19/WRC0119이면도로D/sa500864.jpg,,,,,/2006-10-19/WRC0119이면도로D/sa500863.jpg,,2018-04-30
WR(서울특별시 영등포구)-[영신로]-상-1,3방향예고표지,191217.9,446271,/2006-10-19/WRC0119영등포고가로U/sa500936.jpg,,,,,/2006-10-19/WRC0119영등포고가로U/sa500935.jpg,,2018-04-30
WR(서울특별시 영등포구)-[영신로]-상-2,3방향표지,191158.61,446451.56,/2006-10-19/WRC0119영등포고가로U/sa500938.jpg,,,,,/2006-10-19/WRC0119영등포고가로U/sa500937.jpg,,2018-04-30
WR(서울특별시 영등포구)-[영신로]-하-1,3방향표지,191158.61,446451.56,/2006-10-19/WRC0119영등포고가로D/sa500940.jpg,,,,,/2006-10-19/WRC0119영등포고가로D/sa500939.jpg,,2018-04-30
WR(서울특별시 영등포구)-[영신로]-상-3,3방향예고표지,191233.58,446804.7,/2015-07-17/WRC0119영신로U/27 (41) 근거리.jpg,,,,,/2015-07-17/WRC0119영신로U/27 (41) 원거리.jpg,,2018-04-30
WR(서울특별시 영등포구)-[영신로]-상-4,3방향표지,191347.86,447050.76,/2006-10-19/WRC0119영등포고가로U/sa500944.jpg,,,,,/2006-10-19/WRC0119영등포고가로U/sa500943(1).jpg,,2018-04-30
WR(서울특별시 영등포구)-[영신로]-하-2,3방향표지,191347.86,447050.76,/2006-10-19/WRC0119영등포고가로D/sa500946.jpg,,,,,/2006-10-19/WRC0119영등포고가로D/sa500945.jpg,,2018-04-30
UR(서울특별시)-51[도봉로]-하-25,3방향표지,202368.32,459719.11,/2015-04-10/URC010051도봉로D/ur-51[도봉로]-하-25.jpg,,,,,,,2018-04-30
WR(서울특별시 영등포구)-[영신로]-상-5,3방향예고표지,191433.89,447431.98,/2015-07-17/WRC0119영신로U/28 (6) 근거리(2).jpg,,,,,/2015-07-17/WRC0119영신로U/28 (6) 원거리(1).jpg,,2018-04-30
UR(서울특별시)-61[광나루로]-상-25,2방향예고표지,203645.82,449917.52,/2006-10-16/URC010061U/동부간선-6-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-6-원거리.jpg,,2018-04-30
UR(서울특별시)-61[광나루로]-상-26,교량표지,203798.83,449947.74,/2006-10-16/URC010061U/동부간선-7-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-7-원거리.jpg,,2018-04-30
UR(서울특별시)-61[광나루로]-상-27,1방향표지,203845.96,449994.56,/2006-10-16/URC010061U/동부간선-8-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-8-원거리.jpg,,2018-04-30
UR(서울특별시)-61[가람길]-상-28,1방향표지,203951.69,450006.19,/2006-10-16/URC010061U/동부간선-9-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-9-원거리.jpg,,2018-04-30
UR(서울특별시)-61[동부간선도로]-상-29,교량표지,204535.95,449906.68,/2006-10-16/URC010061U/동부간선-10-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-10-원거리.jpg,,2018-04-30
