Column1,지점명,위도,경도
138,당곡사거리,37.488823,126.92868
139,난곡사거리,37.481794,126.9145059
140,건대입구역,37.540372,127.069276
141,우편취급소 앞 사거리,37.5561443,126.8139581
142,성수사거리,37.542412,127.062693
143,군자역 사거리,37.5571211,127.0794877
144,혜민병원 남쪽 삼거리,37.5353375,127.083543
145,역어린이대공원역,37.547913,127.07461
146,구의사거리,37.5450671,127.0853208
147,화양사거리,37.5483164,127.0674613
148,광나루역,37.545339,127.103623
149,군자역 사거리,37.5571211,127.0794877
150,성수119안전센터 앞 사거리,37.537391,127.060085
151,건영아파트사거리,37.4827699,127.1264019
152,건대입구역 사거리,37.540372,127.069276
153,광장동청구아파트 앞,37.5424859,127.0962615
154,이마트 앞 삼거리,35.2965872,128.7610131
155,헤스티아 앞 사거리,37.821994,126.988723
156,동양파라곤 앞,37.5215874,127.0544198
157,어린이대공원 부근,37.549363,127.0818126
158,군자교교차로,37.5593985,127.0737382
159,아차산역 3번출구 앞 삼거리,37.552649,127.08924
160,대우1차아파트 앞 사거리,37.4124926,126.6679763
161,건대입구역교차로,37.540372,127.069276
162,삼성쉐르빌 앞 삼거리,37.272042,127.22133
163,KT서울북부마케팅단 앞,37.5371364,127.0887607
164,광진구청 사거리,37.5385333,127.0823772
165,건대입구역 앞,37.540372,127.069276
166,건대입구역교차로,37.540372,127.069276
167,자양사거리,37.5365404,127.0835712
168,성수사거리,37.542412,127.062693
169,건대입구역교차로,37.540372,127.069276
170,고척교사거리,37.5063741,126.8605154
171,디지털단지 오거리,37.4793494,126.889925
172,거리공원입구교차로,37.4991722,126.891875
173,개봉사거리,37.4973189,126.8564833
174,오류동역앞 삼거리,37.4944,126.844551
175,한일유앤아이앞교차로,37.4865032,126.87585
176,삼호아파트 앞 사거리,37.497359,126.987315
177,오류동삼거리,37.495353,126.840679
178,궁동삼거리,37.5063451,126.8291246
180,개봉1동사거리,37.5015682,126.8465397
181,남구로역 삼거리,37.486087,126.887272
182,구로소방석교차로,37.4977634,126.8651769
183,개봉고가차도 남측 진출입부,37.494347,126.8561779
184,경인중 삼거리,37.5383125,126.7225915
185,신도림역 삼거리,37.495338,126.840916
186,신도림sk뷰 삼거리,37.5069016,126.886619
187,디지털단지입구,37.486646,126.876714
188,대륭포스트타워5차 앞,37.4809568,126.8863566
189,구로구청 앞 사거리,37.4954703,126.8876391
190,오류동 삼거리,37.495353,126.840679
191,구로리어린이공원 사거리,37.4908203,126.8915912
192,신도림역 중앙버스 정류장 인근,37.5088099,126.8912061
193,한신휴아파트 사거리,37.495394,126.682946
194,구로역사거리,37.5031784,126.8820367
196,개봉고가차도 남측 진출입부,37.494347,126.8561779
197,기아대교 동단 삼거리,37.4386879,126.9007862
198,독산사거리,37.4713228,126.8981467
199,시흥사거리,37.4547138,126.9005358
200,금천우체국사거리,37.4701007,126.89848
201,호정타워아파트 삼거리,37.4611296,126.9002301
202,마리오사거리,37.477909,126.887529
203,독산동군인아파트 삼거리,37.4662677,126.8904809
204,시흥4동주민센터 부근,37.4589474,126.9062056
205,한양수자인아파트,37.478345,127.113784
206,디지털단지 오거리,37.4793494,126.889925
207,현대지식산업센터삼거리,37.469824,126.89589
208,홈플러스 삼거리,37.4695138,126.6891949
209,독산119 안전센터 앞 사거리,37.4484923,126.9004804
210,시흥사거리,37.4547138,126.9005358
211,시흥5동주민센터 오거리,37.4523531,126.9082851
212,시흥사거리,37.4547138,126.9005358
213,금천구청입구삼거리,37.4518527,126.9020358
214,남부여성발전센터 부근,37.4630783,126.9059344
215,서울금천우체국 사거리,37.4701007,126.89848
216,현대지식산업센터삼거리,37.469824,126.89589
217,독산사거리,37.4713228,126.8981467
218,금천우체국사거리,37.4701007,126.89848
219,시흥4동주민센터 삼거리,37.4589474,126.9062056
220,시흥사거리,37.4547138,126.9005358
221,시흥사거리,37.4547138,126.9005358
222,금천우체국사거리,37.4701007,126.89848
223,마리오사거리,37.477909,126.887529
224,녹천교 동단 사거리,37.6456716,127.0556788
225,신도2차아파트 부근 사거리,36.7770672,127.2104674
226,중계역사거리,37.645783,127.065316
227,창동교 동단 사거리,37.65297,127.0541263
228,태릉입구역 사거리,37.619457,127.078231
229,월릉교 동단 사거리,37.6161693,127.0712924
230,상계주공10단지,37.6639381,127.0568063
231,화랑대사거리,37.6215023,127.087124
232,하계역 사거리,37.63595,127.068213
233,대진고등학교 사거리,37.6375834,127.0754302
235,하계6단지 사거리,37.653688,127.064743
236,중계근린공원 사거리,37.639833,127.0657644
237,상계교 동단 사거리,37.660566,127.073202
238,공릉역 사거리,37.6255848,127.0729864
239,상계주공14단지 앞,37.6695236,127.0583199
240,월계1교 동단 사거리,37.6327227,127.063126
241,상계3치안센터 사거리,37.6588029,127.0684859
242,노원구민체육센타교차로,37.6481098,127.0707082
243,수락산역 부근,37.677881,127.055293
244,공릉초앞 사거리,37.6304778,127.0901988
245,노원역사거리,37.6547659,127.0600059
246,녹천중학교 부근 삼거리,37.6311395,127.0623761
248,녹천교 동단 사거리,37.6456716,127.0556788
249,창동교 동단 사거리,37.65297,127.0541263
250,태릉입구역 사거리,37.619457,127.078231
251,신도2차아파트 부근 사거리,36.7770672,127.2104674
252,하계역 사거리,37.63595,127.068213
253,정의여중입구사거리,37.6482236,127.0343875
254,우이교교차로,37.6368884,127.0364618
255,도봉경찰서 사거리,37.6533589,127.052682
256,도봉보건소 사거리,37.6567466,127.0388047
257,도봉산역 삼거리,37.689596,127.0461945
258,창동시장입구,37.6475815,127.0349617
259,녹천교 서단 사거리,37.6456716,127.0556788
260,쌍문역 삼거리,37.6604953,127.0405199
261,신도봉삼거리,37.6702177,127.0412104
262,방학사거리,37.6629131,127.0424327
263,홈플러스 앞 사거리,37.4853216,126.8143453
264,도봉산역 삼거리,37.689596,127.0461945
265,문화고 서쪽 사거리,35.7725319,127.0978122
266,서울숭미초 삼거리,37.660566,127.073202
267,도봉구민회관 앞 삼거리,37.6541085,127.0384056
268,쌍문파출소 사거리,37.6500531,127.0201853
269,방학동성원아파트,37.6615064,127.0358939
270,노원교교차로,37.6789113,127.0510425
271,서울창립초 사거리,37.557175,126.9872189
272,창동중 사거리,37.6627119,127.0496429
274,방학1동주민센터 사거리,37.6641869,127.0406368
275,성원아파트 사거리,37.6501651,127.0700415
